UTC_Date,UTC_Time,Lat,Long,Cherry1,Cherry2,Cherry3,Cherry4,Cherry5,Cherry6
2/12/2008,12:36:00 ,-21.91027,112.76198,rock,rock,r_wall,,,
2/12/2008,12:36:44 ,-21.91024,112.76192,rock,rock,r_wall,fish,,
2/12/2008,12:37:16 ,-21.91022,112.76185,mud,rock,r_high,worm,,
2/12/2008,12:38:00 ,-21.91021,112.76179,mud,mud,r_high,,,
2/12/2008,12:38:33 ,-21.91018,112.76175,rock,mud,r_high,,,
2/12/2008,12:39:02 ,-21.91016,112.76172,rock,mud,r_high,r_ovrhang,,
2/12/2008,12:39:42 ,-21.91014,112.76167,rock,mud,r_high,leb_trks,,
2/12/2008,12:40:32 ,-21.91010,112.76165,rock,mud,r_wall,,,
2/12/2008,12:41:03 ,-21.91008,112.76163,rock,mud,r_wall,,,
2/12/2008,12:41:32 ,-21.91004,112.76165,rock,mud,r_wall,unkn,,
2/12/2008,12:42:13 ,-21.91003,112.76165,rock,mud,r_wall,,,
2/12/2008,12:42:51 ,-21.90998,112.76169,rock,mud,r_wall,,,
2/12/2008,12:43:21 ,-21.90997,112.76170,rock,mud,r_wall,,,
2/12/2008,12:43:47 ,-21.90994,112.76175,rock,mud,r_wall,spng_glas,,
2/12/2008,12:44:11 ,-21.90991,112.76176,rock,mud,r_wall,,,
2/12/2008,12:44:51 ,-21.90989,112.76182,rock,mud,r_wall,,,
2/12/2008,12:45:21 ,-21.90986,112.76186,rock,mud,r_wall,unkn,,
2/12/2008,12:46:02 ,-21.90982,112.76193,rock,mud,r_wall,unkn,,
2/12/2008,12:46:31 ,-21.90980,112.76198,rock,mud,r_wall,,,
2/12/2008,12:47:02 ,-21.90977,112.76205,rock,mud,r_wall,,,
2/12/2008,12:47:33 ,-21.90975,112.76206,r_unkn,,,,,
2/12/2008,12:48:03 ,-21.90971,112.76212,r_unkn,!invisible,,,,
2/12/2008,12:48:33 ,-21.90966,112.76216,r_unkn,!invisible,,,,
2/12/2008,12:49:39 ,-21.90958,112.76219,rock,mud,r_high,,,
2/12/2008,12:50:03 ,-21.90955,112.76219,rock,mud,r_high,worm,,
2/12/2008,12:50:31 ,-21.90951,112.76218,rock,mud,r_high,,,
2/12/2008,12:51:12 ,-21.90940,112.76218,rock,mud,r_mod,,,
2/12/2008,12:51:48 ,-21.90933,112.76212,rock,mud,r_high,,,
2/12/2008,12:52:33 ,-21.90924,112.76208,rock,mud,r_high,,,
2/12/2008,12:53:11 ,-21.90918,112.76201,rock,mud,r_high,,,
2/12/2008,12:53:42 ,-21.90912,112.76198,rock,mud,r_wall,leb_trks,,
2/12/2008,12:54:18 ,-21.90906,112.76196,rock,mud,r_wall,,,
2/12/2008,12:55:04 ,-21.90900,112.76193,rock,mud,r_wall,shrimp,,
2/12/2008,12:56:01 ,-21.90896,112.76192,rock,rock,r_wall,,,
2/12/2008,12:56:32 ,-21.90893,112.76193,rock,rock,r_wall,shrimp,,
2/12/2008,12:57:31 ,-21.90886,112.76199,rock,mud,r_high,acornworm,,
2/12/2008,12:58:31 ,-21.90882,112.76208,rock,rock,r_wall,,,
2/12/2008,12:59:14 ,-21.90880,112.76212,rock,mud,r_low,cucumbr_a,,
2/12/2008,12:59:52 ,-21.90876,112.76222,rock,mud,r_high,,,
2/12/2008,13:00:32 ,-21.90876,112.76228,rock,mud,r_high,crustcn,,
2/12/2008,13:01:24 ,-21.90874,112.76237,rock,mud,r_mod,leb_bur,,
2/12/2008,13:02:11 ,-21.90871,112.76248,rock,rock,r_high,leb_bur,,
2/12/2008,13:03:02 ,-21.90868,112.76260,rock,mud,r_mod,,,
2/12/2008,13:03:31 ,-21.90867,112.76266,rock,mud,r_mod,worm,leb_trks,cucumbr_a
2/12/2008,13:04:04 ,-21.90865,112.76276,rock,mud,r_mod,leb_bur,,
2/12/2008,13:04:48 ,-21.90863,112.76284,mud,mud,r_flat,worm,leb_trks,leb_trks
2/12/2008,13:05:32 ,-21.90861,112.76297,mud,mud,r_mod,leb_bur,leb_trks,
2/12/2008,13:06:15 ,-21.90860,112.76305,mud,rock,r_mod,cucumbr_a,,
2/12/2008,13:06:57 ,-21.90857,112.76317,mud,rock,r_low,worm,,
2/12/2008,13:07:42 ,-21.90856,112.76325,rock,mud,r_mod,,,
2/12/2008,13:08:31 ,-21.90853,112.76336,mud,rock,r_low,,,
2/12/2008,13:08:59 ,-21.90851,112.76343,mud,rock,r_low,leb_bur,,
2/12/2008,13:09:34 ,-21.90848,112.76350,rock,mud,r_low,cucumbr_a,worm,
2/12/2008,13:10:40 ,-21.90836,112.76357,mud,rock,r_mod,unkn,,
2/12/2008,13:11:22 ,-21.90826,112.76354,mud,mud,r_low,leb_bur,,
2/12/2008,13:12:19 ,-21.90809,112.76343,mud,mud,r_low,leb_trks,unkn,
2/12/2008,13:12:52 ,-21.90802,112.76334,mud,mud,r_mod,leb_trks,,
2/12/2008,13:13:27 ,-21.90796,112.76321,mud,mud,r_mod,cucumbr_a,whip,
2/12/2008,13:14:25 ,-21.90784,112.76305,rock,mud,r_low,,,
2/12/2008,13:15:04 ,-21.90780,112.76295,mud,mud,r_low,leb_bur,,
2/12/2008,13:15:39 ,-21.90775,112.76291,mud,rock,r_mod,whip,fish,
2/12/2008,13:16:22 ,-21.90771,112.76286,rock,rock,r_wall,,,
2/12/2008,13:16:59 ,-21.90766,112.76284,rock,rock,r_high,,,
2/12/2008,13:17:32 ,-21.90765,112.76284,rock,mud,r_high,,,
2/12/2008,13:18:05 ,-21.90763,112.76284,rock,mud,r_high,unkn,,
2/12/2008,13:18:50 ,-21.90758,112.76287,rock,mud,r_high,,,
2/12/2008,13:19:33 ,-21.90756,112.76291,rock,mud,r_high,unkn,,
2/12/2008,13:20:02 ,-21.90752,112.76295,rock,mud,r_mod,,,
2/12/2008,13:20:38 ,-21.90747,112.76302,mud,rock,r_high,unkn,,
2/12/2008,13:21:16 ,-21.90746,112.76304,mud,rock,r_mod,unkn,leb_trks,
2/12/2008,13:21:52 ,-21.90740,112.76311,rock,mud,r_mod,,,
2/12/2008,13:22:32 ,-21.90734,112.76317,mud,rock,r_mod,,,
2/12/2008,13:23:02 ,-21.90732,112.76317,mud,mud,r_low,unkn,cucumbr_a,
2/12/2008,13:24:01 ,-21.90722,112.76317,mud,mud,r_mod,,,
2/12/2008,13:24:32 ,-21.90717,112.76315,mud,mud,r_slope,,,
2/12/2008,13:25:01 ,-21.90710,112.76314,mud,mud,r_slope,leb_bur,,
2/12/2008,13:25:39 ,-21.90704,112.76311,!grab_sample,,,,,
2/12/2008,13:27:32 ,-21.90687,112.76317,!grab_unsuccessful,,,,,
2/12/2008,13:28:21 ,-21.90684,112.76320,r_unkn,invisible,,,,
2/12/2008,13:31:19 ,-21.90662,112.76330,rock,mud,r_high,,,
2/12/2008,13:31:53 ,-21.90654,112.76333,rock,rock,r_wall,unkn,,
2/12/2008,13:33:01 ,-21.90643,112.76336,rock,rock,r_mod,,,
2/12/2008,13:33:53 ,-21.90635,112.76336,rock,mud,r_mod,,,
2/12/2008,13:34:37 ,-21.90625,112.76338,! eol,,,,,
