2008 226 11 19 35	114.141504	-21.957353	-5.235
2008 226 11 19 36	114.141504	-21.957352	-5.265
2008 226 11 19 37	114.141504	-21.957351	-5.255
2008 226 11 19 38	114.141504	-21.957350	-5.254
2008 226 11 19 39	114.141504	-21.957348	-5.214
2008 226 11 19 40	114.141504	-21.957347	-5.374
2008 226 11 19 42	114.141504	-21.957346	-5.196
2008 226 11 19 43	114.141504	-21.957345	-5.317
2008 226 11 19 44	114.141504	-21.957343	-5.217
2008 226 11 19 45	114.141504	-21.957342	-5.186
2008 226 11 19 46	114.141504	-21.957341	-5.194
2008 226 11 19 47	114.141504	-21.957339	-5.213
2008 226 11 19 48	114.141504	-21.957338	-5.193
2008 226 11 19 49	114.141504	-21.957336	-5.184
2008 226 11 19 50	114.141504	-21.957335	-5.196
2008 226 11 19 51	114.141504	-21.957333	-5.197
2008 226 11 19 52	114.141504	-21.957331	-5.186
2008 226 11 19 53	114.141504	-21.957330	-5.164
2008 226 11 19 54	114.141505	-21.957328	-5.162
2008 226 11 19 55	114.141505	-21.957327	-5.162
2008 226 11 19 56	114.141505	-21.957325	-5.194
2008 226 11 19 57	114.141506	-21.957323	-5.126
2008 226 11 19 58	114.141506	-21.957321	-5.196
2008 226 11 19 59	114.141506	-21.957320	-5.194
2008 226 11 20 0	114.141507	-21.957318	-5.322
2008 226 11 20 1	114.141507	-21.957316	-5.361
2008 226 11 20 2	114.141508	-21.957314	-5.143
2008 226 11 20 3	114.141508	-21.957312	-5.155
2008 226 11 20 4	114.141509	-21.957310	-5.216
2008 226 11 20 5	114.141509	-21.957308	-5.125
2008 226 12 20 6	114.141510	-21.957306	-5.102
2008 226 13 20 7	114.141510	-21.957304	-5.101
2008 226 14 20 8	114.141511	-21.957302	-5.490
