UTC_Date,UTC_Time,Lat,Lon,Cherry1,Cherry2,Cherry3,Cherry4,Cherry5,Cherry6,Cherry7
28/11/2008,19:36:52,-24.78988,110.90656, mud,mud,r_flat,acorn_trk,
28/11/2008,19:37:42,-24.78993,110.90656, unkn,,,,
28/11/2008,19:38:25,-24.78997,110.90659, mud,mud,r_flat,cucumbr_a,
28/11/2008,19:39:20,-24.78998,110.90658, mud,mud,r_flat,leb_trks,acornworm
28/11/2008,19:40:15,-24.7901,110.90659, mud,mud,r_flat,acornworm,leb_trks
28/11/2008,19:41:00,-24.79012,110.90661, mud,mud,r_flat,acorn_trk,
28/11/2008,19:41:45,-24.79023,110.90664, mud,mud,r_flat,acorn_trk,leb_trks
28/11/2008,19:42:30,-24.79038,110.90667, mud,mud,r_flat,,
28/11/2008,19:43:15,-24.79053,110.90671, mud,mud,r_flat,unkn,
28/11/2008,19:44:00,-24.79067,110.90672, mud,mud,r_flat,,
28/11/2008,19:44:42,-24.79074,110.90674, mud,mud,r_flat,leb_trks,acorn_trk
28/11/2008,19:45:30,-24.7908,110.90672, mud,mud,r_flat,leb_trks,acorn_trk
28/11/2008,19:46:15,-24.79083,110.90672, mud,mud,r_flat,fish,acorn_trk
28/11/2008,19:47:15,-24.79085,110.90672, mud,mud,r_flat,acornworm,
28/11/2008,19:48:15,-24.7909,110.90671, mud,mud,r_flat,unkn,
28/11/2008,19:49:00,-24.79102,110.90672, mud,mud,r_flat,acornworm,,
28/11/2008,19:50:00,-24.79121,110.90678, mud,mud,r_flat,,,
28/11/2008,19:50:45,-24.79135,110.90684, mud,mud,r_flat,acornworm,acorn_trk,
28/11/2008,19:51:00,-24.79139,110.90684, mud,mud,r_flat,acornworm,,
28/11/2008,19:52:30,-24.7915,110.90684, mud,mud,r_flat,,,
28/11/2008,19:53:15,-24.79159,110.90685, mud,mud,r_flat,fish,acorn_trk,
28/11/2008,19:54:00,-24.79172,110.9069, mud,mud,r_flat,unkn_mot,unkn_ses,fish
28/11/2008,19:54:45,-24.79183,110.90695, mud,mud,r_flat,acornworm,acorn_trk,
28/11/2008,19:55:30,-24.79192,110.90701, mud,mud,r_flat,acorn_trk,cucumbr_a,jellyfish
28/11/2008,19:56:15,-24.79202,110.90707, mud,mud,r_flat,acorn_trk,,
28/11/2008,19:57:03,-24.79213,110.90714, mud,mud,r_flat,acorn_trk,echinoid,
28/11/2008,19:58:00,-24.79216,110.90716, mud,mud,r_flat,acorn_trk,unkn_mot,
28/11/2008,19:58:45,-24.79217,110.90713, mud,mud,r_flat,acorn_trk,,
28/11/2008,19:59:35,-24.79225,110.90711, mud,mud,r_flat,acorn_trk,cucumbr_a,leb_trks
28/11/2008,20:00:31,-24.79234,110.90711, mud,mud,r_flat,acorn_trk,spg_lumpy,
