ID,UTC_Date,UTC_Time,Long,Lat,Depth
94,28/11/2008,0:15:30,110.9363491,-25.7879342,887
95,28/11/2008,0:15:40,110.9363696,-25.7879171,898
96,28/11/2008,0:15:50,110.9363491,-25.7879,908
97,28/11/2008,0:16:00,110.9363833,-25.7879171,914
98,28/11/2008,0:16:10,110.9363696,-25.7879,925
99,28/11/2008,0:16:20,110.9363355,-25.7879171,935
100,28/11/2008,0:16:30,110.9363355,-25.7878659,945
101,28/11/2008,0:16:40,110.9363696,-25.7879,956
102,28/11/2008,0:16:50,110.936397,-25.7878659,966
103,28/11/2008,0:17:00,110.9363833,-25.7878829,977
104,28/11/2008,0:17:10,110.9364174,-25.7878829,987
105,28/11/2008,0:17:20,110.9364174,-25.7879,999
106,28/11/2008,0:17:30,110.9363833,-25.7878659,1009
107,28/11/2008,0:17:40,110.9364174,-25.7879,1020
108,28/11/2008,0:17:50,110.9364516,-25.7878829,1030
109,28/11/2008,0:18:00,110.9364174,-25.7878829,1041
110,28/11/2008,0:18:10,110.9364857,-25.7878829,1046
111,28/11/2008,0:18:20,110.9364516,-25.7878659,1062
112,28/11/2008,0:18:30,110.9364516,-25.7878163,1072
113,28/11/2008,0:18:40,110.9364653,-25.7878334,1083
114,28/11/2008,0:18:50,110.9364174,-25.7879171,1093
115,28/11/2008,0:19:00,110.9364311,-25.7878505,1104
116,28/11/2008,0:19:10,110.9364653,-25.7878659,1115
117,28/11/2008,0:19:20,110.9364653,-25.7878505,1125
118,28/11/2008,0:19:30,110.9364994,-25.7878505,1135
119,28/11/2008,0:19:40,110.9364994,-25.7878334,1146
120,28/11/2008,0:19:50,110.9364516,-25.7878334,1156
121,28/11/2008,0:20:00,110.9364653,-25.7878505,1167
122,28/11/2008,0:20:10,110.9364653,-25.7878163,1178
123,28/11/2008,0:20:20,110.9364994,-25.7878334,1188
124,28/11/2008,0:20:30,110.9364857,-25.7878163,1198
125,28/11/2008,0:20:40,110.9364857,-25.7877993,1209
126,28/11/2008,0:20:50,110.9365336,-25.7878334,1220
127,28/11/2008,0:21:00,110.9364857,-25.7877993,1225
128,28/11/2008,0:21:10,110.9364994,-25.7877993,1241
129,28/11/2008,0:21:20,110.9364857,-25.7878163,1252
130,28/11/2008,0:21:30,110.9364994,-25.7878163,1262
131,28/11/2008,0:21:40,110.9365199,-25.7878659,1273
132,28/11/2008,0:21:50,110.9364653,-25.7878659,1283
133,28/11/2008,0:22:00,110.9364516,-25.7878505,1294
134,28/11/2008,0:22:10,110.9365336,-25.7878659,1305
135,28/11/2008,0:22:20,110.9365199,-25.7878659,1315
136,28/11/2008,0:22:30,110.9366019,-25.7878163,1325
137,28/11/2008,0:22:40,110.9365336,-25.7878334,1336
138,28/11/2008,0:22:50,110.9365677,-25.7878505,1347
139,28/11/2008,0:23:00,110.9365814,-25.7878829,1357
140,28/11/2008,0:23:10,110.9365472,-25.7878334,1368
141,28/11/2008,0:23:20,110.9365472,-25.7878334,1378
142,28/11/2008,0:23:30,110.9365677,-25.7878334,1389
143,28/11/2008,0:23:40,110.9365814,-25.7878659,1394
144,28/11/2008,0:23:50,110.9365677,-25.7878505,1409
145,28/11/2008,0:24:00,110.9366155,-25.7878659,1421
146,28/11/2008,0:24:10,110.9366155,-25.7878659,1430
147,28/11/2008,0:24:20,110.9366019,-25.7878829,1442
148,28/11/2008,0:24:30,110.9366019,-25.7878659,1452
149,28/11/2008,0:24:40,110.9365814,-25.7878505,1462
150,28/11/2008,0:24:50,110.9366019,-25.7878829,1473
151,28/11/2008,0:25:00,110.9366019,-25.7878505,1483
152,28/11/2008,0:25:10,110.9365677,-25.7878659,1494
153,28/11/2008,0:25:20,110.9365472,-25.7879,1504
154,28/11/2008,0:25:30,110.9364994,-25.7879,1509
155,28/11/2008,0:25:40,110.9366155,-25.7879342,1525
156,28/11/2008,0:25:50,110.9366155,-25.7878659,1536
157,28/11/2008,0:26:00,110.9366497,-25.7879,1546
158,28/11/2008,0:26:10,110.9365814,-25.7878334,1552
159,28/11/2008,0:26:20,110.9365677,-25.7878659,1561
160,28/11/2008,0:26:30,110.9366019,-25.7879,1572
161,28/11/2008,0:26:40,110.936636,-25.7879,1583
162,28/11/2008,0:26:50,110.936636,-25.7879,1583
163,28/11/2008,0:27:30,110.9365814,-25.7878829,1640
164,28/11/2008,0:27:40,110.9365199,-25.7878505,1646
165,28/11/2008,0:27:50,110.9365336,-25.7878505,1652
166,28/11/2008,0:28:00,110.9365199,-25.7878829,1667
167,28/11/2008,0:28:10,110.936636,-25.7879666,1677
168,28/11/2008,0:28:20,110.9365336,-25.7879171,1687
169,28/11/2008,0:28:30,110.9364653,-25.7878505,1698
170,28/11/2008,0:28:40,110.9365814,-25.7878829,1709
171,28/11/2008,0:28:50,110.9365472,-25.7878829,1718
172,28/11/2008,0:29:00,110.9366019,-25.7878659,1728
173,28/11/2008,0:29:10,110.9366019,-25.7878659,1728
174,28/11/2008,0:29:20,110.9366019,-25.7878659,1749
175,28/11/2008,0:29:30,110.9364174,-25.7877497,1760
176,28/11/2008,0:29:40,110.9366155,-25.787567,1770
177,28/11/2008,0:29:50,110.9365336,-25.7879,1781
178,28/11/2008,0:30:00,110.936636,-25.7878163,1792
179,28/11/2008,0:30:10,110.9365677,-25.7878505,1801
180,28/11/2008,0:30:20,110.9366497,-25.7879666,1807
181,28/11/2008,0:30:30,110.9365677,-25.7878163,1823
182,28/11/2008,0:30:40,110.9365472,-25.7877839,1831
183,28/11/2008,0:30:50,110.9366155,-25.7878163,1838
184,28/11/2008,0:31:00,110.9366633,-25.7878505,1853
185,28/11/2008,0:31:10,110.9366019,-25.7878334,1865
186,28/11/2008,0:31:20,110.9366019,-25.7877497,1868
187,28/11/2008,0:31:30,110.9365814,-25.7878163,1884
188,28/11/2008,0:31:40,110.9366019,-25.7878163,1895
189,28/11/2008,0:31:50,110.9367316,-25.7877993,1904
190,28/11/2008,0:32:00,110.9366155,-25.7877839,1915
191,28/11/2008,0:32:10,110.9366497,-25.7877993,1924
192,28/11/2008,0:32:20,110.9366019,-25.7878334,1936
193,28/11/2008,0:32:30,110.9366633,-25.7877668,1946
194,28/11/2008,0:32:40,110.9366633,-25.7877668,1946
195,28/11/2008,0:32:50,110.936636,-25.7877839,1966
196,28/11/2008,0:33:00,110.9366155,-25.7877497,1978
197,28/11/2008,0:33:10,110.9366838,-25.7877497,1981
198,28/11/2008,0:33:20,110.9366155,-25.7877993,1997
199,28/11/2008,0:33:30,110.9366633,-25.7877002,2003
200,28/11/2008,0:33:40,110.9366155,-25.7877668,2019
201,28/11/2008,0:33:50,110.9366838,-25.7877668,2029
202,28/11/2008,0:34:00,110.936636,-25.7877993,2040
203,28/11/2008,0:34:10,110.936636,-25.7877668,2050
204,28/11/2008,0:34:20,110.936636,-25.7877497,2060
205,28/11/2008,0:34:30,110.9366838,-25.7877668,2069
206,28/11/2008,0:34:40,110.9366155,-25.7877839,2080
207,28/11/2008,0:34:50,110.9366497,-25.7877497,2091
208,28/11/2008,0:35:00,110.936636,-25.7878829,2102
209,28/11/2008,0:35:10,110.9366019,-25.7878505,2112
210,28/11/2008,0:35:20,110.9366838,-25.7878334,2124
211,28/11/2008,0:35:30,110.9365814,-25.7878163,2133
212,28/11/2008,0:35:40,110.9366838,-25.7878334,2138
213,28/11/2008,0:35:50,110.936636,-25.7878334,2154
214,28/11/2008,0:36:00,110.9366838,-25.7878163,2165
215,28/11/2008,0:36:10,110.936718,-25.7878505,2174
216,28/11/2008,0:36:20,110.9366633,-25.7878505,2185
217,28/11/2008,0:36:30,110.9366838,-25.7878334,2196
218,28/11/2008,0:36:40,110.9366975,-25.7878163,2200
219,28/11/2008,0:36:50,110.9366838,-25.7878163,2216
220,28/11/2008,0:37:00,110.9366633,-25.7878505,2221
221,28/11/2008,0:37:10,110.9366975,-25.7877668,2232
222,28/11/2008,0:37:20,110.9366975,-25.7878505,2242
223,28/11/2008,0:37:30,110.9367658,-25.7879,2253
224,28/11/2008,0:37:40,110.9366975,-25.7878659,2263
225,28/11/2008,0:37:50,110.9366838,-25.7878334,2272
226,28/11/2008,0:38:00,110.9366975,-25.7877993,2283
227,28/11/2008,0:38:10,110.9366975,-25.7877993,2293
228,28/11/2008,0:38:20,110.936718,-25.7878334,2304
229,28/11/2008,0:38:30,110.9367316,-25.7878163,2314
230,28/11/2008,0:38:40,110.9367316,-25.7878163,2324
231,28/11/2008,0:38:50,110.936718,-25.7877668,2335
232,28/11/2008,0:39:00,110.9366497,-25.7877002,2345
233,28/11/2008,0:39:10,110.9367658,-25.7878659,2355
234,28/11/2008,0:39:20,110.936718,-25.7877002,2361
235,28/11/2008,0:39:30,110.936636,-25.7878163,2376
236,28/11/2008,0:39:40,110.936636,-25.7877497,2386
237,28/11/2008,0:39:50,110.9365814,-25.7877173,2396
238,28/11/2008,0:40:00,110.9367521,-25.7876832,2402
239,28/11/2008,0:40:10,110.9366019,-25.7878334,2417
240,28/11/2008,0:40:20,110.9366019,-25.7877668,2429
241,28/11/2008,0:40:30,110.9366019,-25.7877002,2432
242,28/11/2008,0:40:40,110.9366497,-25.7878163,2448
243,28/11/2008,0:40:50,110.936636,-25.7877327,2453
244,28/11/2008,0:41:00,110.9366019,-25.7877668,2468
245,28/11/2008,0:41:10,110.9366633,-25.7877002,2473
246,28/11/2008,0:41:20,110.9366633,-25.7876832,2487
247,28/11/2008,0:41:30,110.9366633,-25.7877497,2496
248,28/11/2008,0:41:40,110.9366019,-25.7877173,2501
249,28/11/2008,0:41:50,110.9365677,-25.7876336,2499
250,28/11/2008,0:42:00,110.9366497,-25.7877173,2500
251,28/11/2008,0:42:10,110.9366155,-25.7877327,2501
252,28/11/2008,0:42:20,110.9366019,-25.7877002,2499
253,28/11/2008,0:42:30,110.9366019,-25.7877497,2498
254,28/11/2008,0:42:40,110.9366019,-25.7877173,2501
255,28/11/2008,0:42:50,110.9366155,-25.7876832,2498
256,28/11/2008,0:43:00,110.936636,-25.7876832,2498
257,28/11/2008,0:43:10,110.9366497,-25.7877002,2499
258,28/11/2008,0:43:20,110.936636,-25.7876661,2497
259,28/11/2008,0:43:30,110.936636,-25.7876661,2499
260,28/11/2008,0:43:40,110.9365814,-25.7877173,2502
261,28/11/2008,0:43:50,110.9366497,-25.7877173,2504
262,28/11/2008,0:44:00,110.9366497,-25.7877497,2509
263,28/11/2008,0:44:10,110.9366497,-25.7877497,2509
264,28/11/2008,0:44:20,110.936636,-25.7877173,2517
265,28/11/2008,0:44:30,110.9366838,-25.7877327,2519
266,28/11/2008,0:44:40,110.936636,-25.7877327,2527
267,28/11/2008,0:44:50,110.936636,-25.7877173,2535
268,28/11/2008,0:45:00,110.9366838,-25.7877327,2542
269,28/11/2008,0:45:10,110.9366633,-25.7877839,2549
270,28/11/2008,0:45:20,110.9366633,-25.7877327,2557
271,28/11/2008,0:45:30,110.9366633,-25.7877839,2563
272,28/11/2008,0:45:40,110.936718,-25.7877497,2571
273,28/11/2008,0:45:50,110.9367863,-25.7877839,2579
274,28/11/2008,0:46:00,110.9366975,-25.7877993,2589
275,28/11/2008,0:46:10,110.9367999,-25.7877668,2595
276,28/11/2008,0:46:20,110.9367863,-25.7877993,2603
277,28/11/2008,0:46:30,110.9367316,-25.7877327,2609
278,28/11/2008,0:46:40,110.9367316,-25.7877839,2616
279,28/11/2008,0:46:50,110.9367316,-25.7877839,2626
280,28/11/2008,0:47:00,110.9367658,-25.7877839,2634
281,28/11/2008,0:47:10,110.9367658,-25.7878505,2642
282,28/11/2008,0:47:20,110.9366633,-25.7877497,2644
283,28/11/2008,0:47:30,110.9367658,-25.7877839,2657
284,28/11/2008,0:47:40,110.936718,-25.7878334,2666
285,28/11/2008,0:47:50,110.9367521,-25.7878334,2673
286,28/11/2008,0:48:00,110.9368682,-25.7877993,2679
287,28/11/2008,0:48:10,110.9367316,-25.7877993,2687
288,28/11/2008,0:48:20,110.9367863,-25.7879,2694
289,28/11/2008,0:48:30,110.9367658,-25.7878659,2705
290,28/11/2008,0:48:40,110.9367521,-25.7878334,2710
291,28/11/2008,0:48:50,110.9367658,-25.7878659,2716
292,28/11/2008,0:49:00,110.9367316,-25.7878505,2725
293,28/11/2008,0:49:10,110.9367316,-25.7878505,2733
294,28/11/2008,0:49:20,110.936718,-25.7878505,2736
295,28/11/2008,0:49:30,110.9367863,-25.7879,2744
296,28/11/2008,0:49:40,110.9367658,-25.7878659,2753
297,28/11/2008,0:49:50,110.936718,-25.7877839,2759
298,28/11/2008,0:50:00,110.9367863,-25.7878163,2768
299,28/11/2008,0:50:10,110.9367316,-25.7878505,2775
300,28/11/2008,0:50:20,110.9367999,-25.7877993,2783
301,28/11/2008,0:50:30,110.9366975,-25.7878163,2792
302,28/11/2008,0:50:40,110.9367316,-25.7878163,2800
303,28/11/2008,0:50:50,110.9366633,-25.7877839,2807
304,28/11/2008,0:51:00,110.9366838,-25.7877668,2814
305,28/11/2008,0:51:10,110.936718,-25.7878829,2822
306,28/11/2008,0:51:20,110.9366497,-25.7878163,2828
307,28/11/2008,0:51:30,110.9366633,-25.7877497,2832
308,28/11/2008,0:51:40,110.9365814,-25.7877497,2838
309,28/11/2008,0:51:50,110.936636,-25.7877002,2842
310,28/11/2008,0:52:00,110.9366155,-25.7877497,2842
311,28/11/2008,0:52:10,110.9365472,-25.7877497,2840
312,28/11/2008,0:52:20,110.9359803,-25.7877839,2837
313,28/11/2008,0:52:30,110.9366975,-25.7879171,2838
314,28/11/2008,0:52:40,110.9366975,-25.7877993,2839
315,28/11/2008,0:52:50,110.936636,-25.7876166,2839
316,28/11/2008,0:53:00,110.9365814,-25.7877327,2838
317,28/11/2008,0:53:10,110.9365814,-25.7877173,2839
318,28/11/2008,0:53:20,110.9364516,-25.7877839,2840
319,28/11/2008,0:53:30,110.9364994,-25.7876832,2837
320,28/11/2008,0:53:40,110.9366019,-25.7877002,2837
321,28/11/2008,0:53:50,110.9365472,-25.7877173,2838
322,28/11/2008,0:54:00,110.9365472,-25.7876336,2837
323,28/11/2008,0:54:10,110.9365677,-25.7876507,2838
324,28/11/2008,0:54:20,110.9365336,-25.7877173,2840
325,28/11/2008,0:54:30,110.9365199,-25.787567,2838
326,28/11/2008,0:54:40,110.9365336,-25.7877002,2836
327,28/11/2008,0:54:50,110.9365336,-25.7877327,2838
328,28/11/2008,0:55:00,110.9364653,-25.7877002,2838
329,28/11/2008,0:55:10,110.9365199,-25.7877173,2839
330,28/11/2008,0:55:20,110.9364857,-25.7877327,2839
331,28/11/2008,0:55:30,110.9364994,-25.7877327,2840
332,28/11/2008,0:55:40,110.9364857,-25.7876661,2836
333,28/11/2008,0:55:50,110.9364653,-25.7876507,2836
334,28/11/2008,0:56:00,110.9365814,-25.7877327,2837
335,28/11/2008,0:56:10,110.9364994,-25.7877173,2839
336,28/11/2008,0:56:20,110.9365677,-25.7877839,2840
337,28/11/2008,0:56:30,110.9364994,-25.7877327,2839
338,28/11/2008,0:56:40,110.9365336,-25.7877327,2840
339,28/11/2008,0:56:50,110.936636,-25.7878163,2838
340,28/11/2008,0:57:00,110.9365199,-25.7876336,2838
341,28/11/2008,0:57:10,110.9365472,-25.7877839,2837
342,28/11/2008,0:57:20,110.9365336,-25.7877497,2839
343,28/11/2008,0:57:30,110.9364857,-25.7877839,2838
344,28/11/2008,0:57:40,110.9365814,-25.7878505,2838
345,28/11/2008,0:57:50,110.9365336,-25.7876832,2838
